model,sampling,software_precision,software_recall,software_f1,publisher_precision,publisher_recall,publisher_f1,version_precision,version_recall,version_f1,URL_precision,URL_recall,URL_f1,precision_micro_avg,recall_micro_avg,f1_micro_avg
CRF,none,29.18,58.49,38.93,41.45,76.56,53.78,51.85,84.85,64.37,18.18,68.57,28.74,34.58,67.59,45.75
CRF,random,66.92,53.7,59.59,70.4,75.12,72.69,79.75,83.55,81.61,34.78,45.71,39.51,69.25,63.58,66.30
CRF,active,68.95,52.78,59.79,70.32,73.68,71.96,80.93,82.68,81.8,32.61,42.86,37.04,70.41,62.51,66.23
BiLSTM-CRF,none,21.94,68.52,33.23,45.29,82.78,58.54,53.59,90.48,67.31,16.67,57.14,25.81,29.01,75.33,41.89
BiLSTM-CRF,random,57.11,71.91,63.66,67.42,85.17,75.26,72.95,88.74,80.08,50.98,74.29,60.47,61.97,77.92,69.03
BiLSTM-CRF,active,62.71,68.52,65.49,68.99,85.17,76.23,63.50,92.64,75.35,63.16,68.57,65.75,64.13,76.58,69.81
BiLSTM-CRF+features,none,20.94,74.54,32.69,45.66,85.65,59.57,58.40,91.77,71.38,14.53,48.57,22.37,28.03,79.34,41.42
BiLSTM-CRF+features,random,54.08,73.61,62.35,68.48,84.21,75.54,72.20,92.21,80.99,50.00,65.71,56.79,60.07,79.16,68.31
BiLSTM-CRF+features,active,54.54,73.30,62.54,68.20,85.17,75.74,79.48,92.21,85.37,47.46,80.00,59.57,61.27,79.61,69.25
BiLSTM-CRF+elmo,none,35.56,74.85,48.21,71.55,79.43,75.28,72.86,88.31,79.84,11.62,80.00,20.29,41.71,78.63,54.51
BiLSTM-CRF+elmo,random,67.44,62.96,65.12,63.87,83.73,72.46,83.05,84.85,83.94,54.84,48.57,51.52,69.46,70.88,70.16
BiLSTM-CRF+elmo,active,61.87,70.37,65.85,74.06,84.69,79.02,77.70,90.48,83.60,48.00,68.57,56.47,66.87,77.11,71.63
BERT-base-CRF,none,15.08,74.23,25.07,40.19,79.43,53.38,42.12,87.88,56.94,04.49,71.43,08.45,18.85,77.92,30.36
BERT-base-CRF,random,52.76,67.75,59.32,61.57,78.95,69.18,65.89,85.28,74.34,14.96,54.29,23.46,53.74,73.02,61.91
BERT-base-CRF,active,56.85,67.90,61.88,66.13,78.47,71.77,73.51,85.28,78.96,19.00,54.29,28.15,58.99,73.02,65.26
SciBERT-CRF,none,25.73,80.40,38.98,44.14,84.69,58.03,71.72,92.21,80.68,27.78,71.43,40.00,33.27,83.35,47.56
SciBERT-CRF,random,60.48,77.01,67.75,68.11,82.78,74.73,75.36,91.34,82.58,40.32,71.43,51.55,63.90,80.85,71.38
SciBERT-CRF,active,69.31,72.84,71.03,75.55,82.78,79.00,80.24,87.88,83.88,45.28,68.57,54.55,71.71,77.65,74.56
